arm,transaction_cost,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
moments_oracle,0.005,3503,6.0853743700731355,0.15126071996255508,0.18756148204477374,0.8453408845527234,1.0665120781864517,-0.31848423371168955,0.47493942855420934
moments_oracle,0.01,3503,4.2029500917207585,0.12596738423894238,0.18808421914855342,0.7253475071019415,0.9169260437158954,-0.32042849142690366,0.39312167179015706
moments_oracle,0.015,3503,2.8230549350442575,0.10127973197326967,0.18890580829034184,0.6056157174519098,0.7655086639344937,-0.3223536689402089,0.31418824022150443
moments_shuffled,0.0,3503,8.683562079897662,0.17742629311921632,0.18815453950278518,0.9627669982904377,1.2090014133215476,-0.3143512932543848,0.5644204332114401
moments_shuffled,0.005,3503,6.281872966483069,0.15352851837168768,0.1883640594714118,0.8529833529289575,1.0740573243384155,-0.31631730924155566,0.48536236837562896
moments_shuffled,0.01,3503,4.481843314007061,0.130204815104634,0.1888264595636259,0.7431293180478389,0.9373645178699623,-0.31828493849558204,0.4090825526337034
moments_shuffled,0.015,3503,3.1305182733411403,0.10742505171717465,0.18953450421164084,0.633594355308615,0.7992012188704978,-0.3284101568830381,0.32710636216843203
pinned_calm,0.0,3503,9.521346360011131,0.18447558291371968,0.19598807376014546,0.9625451158768936,1.2180867450957567,-0.3199673784237207,0.5765449709983423
pinned_calm,0.005,3503,5.382410229438955,0.14263957847081787,0.1963930641214273,0.777764779564382,0.9876465682917712,-0.3222737480768654,0.44260377806757306
pinned_calm,0.01,3503,2.8780457069831065,0.10241175577427208,0.1973854098215925,0.5931962712111739,0.7551728092703267,-0.35854979461058034,0.28562770726309056
pinned_calm,0.015,3503,1.358200330636767,0.06366002149772365,0.19894912224359818,0.4101883319904438,0.5218835112890903,-0.3941253038492267,0.1615222896778962
pinned_crisis,0.0,3503,6.586380251214624,0.1569330494882153,0.16750107684688556,0.9546233365485357,1.194489384756192,-0.30428055617528216,0.5157511589331174
pinned_crisis,0.005,3503,2.6913018251780665,0.09850479010290591,0.1684235131224709,0.6424864414255955,0.8084067943743684,-0.30913751152192936,0.3186439252161679
pinned_crisis,0.01,3503,0.8014956707410636,0.04325344939487197,0.1706382427516207,0.3338613757610002,0.4202691611731055,-0.36287697512088235,0.11919590483927311
pinned_crisis,0.015,3503,-0.11909600373557794,-0.009080776736282603,0.17406757129502165,0.03503870539770461,0.04365036494456065,-0.4488056681797197,-0.02023320421311234
regime_gmm,0.0,3503,7.7839426735341934,0.16919635896037555,0.1902542579692497,0.9174451998762302,1.1495738038594954,-0.3209309849443641,0.5272048100612879
regime_gmm,0.005,3503,4.120687987131064,0.12467722440865758,0.19061926282163716,0.7122953098250728,0.8960586994242136,-0.32337192932073844,0.38555363995430697
regime_gmm,0.01,3503,1.9908439264331093,0.08200137311025757,0.19169604021359643,0.5075053697558369,0.6402192599200979,-0.35962653798986677,0.22801813672762974
regime_gmm,0.015,3503,0.7491860711277383,0.04104432039765715,0.19345931178639547,0.30514732823046586,0.3844605965756543,-0.3972174293667049,0.1033296058108409
regime_hmm,0.0,3503,7.968979751590613,0.17095108037721274,0.19256067978077068,0.9165401986085939,1.153056357540747,-0.32028002971791736,0.5337550409489339
regime_hmm,0.005,3503,4.297586470131949,0.12742840437222602,0.1929423095127989,0.7186964649651693,0.9072307799309594,-0.3227172631999242,0.39486082370896836
regime_hmm,0.01,3503,2.1369221547653963,0.08571954058795361,0.19399682098734658,0.5214630494143575,0.659802420261428,-0.3580817816661992,0.23938537221606165
regime_hmm,0.015,3503,0.8595986111507936,0.045638512406487086,0.19569804009650907,0.32638892844661793,0.4125252801694844,-0.39316878425392743,0.11607867723550384
regime_hmm_calibrated,0.0,3503,7.98974602506371,0.17114590709832012,0.20372763275056038,0.8779935166528363,1.1149396119786208,-0.3125830517295519,0.5475213903996184
regime_hmm_calibrated,0.005,3503,4.585115417823257,0.13172328600823469,0.20402744881091145,0.709092390228179,0.9028597526058539,-0.32870924306475613,0.400728877533526
regime_hmm_calibrated,0.01,3503,2.475267591620483,0.09374931973342981,0.20488548514933472,0.5403418604649454,0.6889223877869596,-0.36054999272734234,0.260017533280955
regime_hmm_calibrated,0.015,3503,1.1639620290606523,0.05710299144082076,0.20628018778416446,0.37284448475576465,0.47509028751072263,-0.390919039234797,0.14607370250524712
regime_oracle,0.0,3503,8.075864234901593,0.17194942580467876,0.1888993555448401,0.935132577745286,1.1682096668573478,-0.3208101969483381,0.5359849139470113
regime_oracle,0.005,3503,4.273878973530189,0.12706468993551456,0.18926880722933181,0.7272392458271042,0.9124751665894264,-0.3232153831704051,0.3931269876116129
regime_oracle,0.01,3503,2.0710438704318705,0.0840630621247036,0.19037555539368817,0.5197101912688753,0.6540780475390178,-0.3507979101506631,0.23963387378391057
regime_oracle,0.015,3503,0.7908805147701679,0.042810010536105114,0.19219407823649984,0.31471276602983805,0.3955091201594935,-0.3875055497297287,0.11047586432236536
regime_shuffled,0.0,3503,8.79572797442354,0.17840217340265263,0.18698633270212495,0.9721100298556655,1.223379898329402,-0.3130759364639336,0.56983674765181
