arm,regime,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
moments_hmm,CALM,3039.0,1.7089418094782358,0.08614703434002258,0.18226015282234098,0.5450206495262174,0.6749611872431361,-0.3399815450237289,0.2533873841123052
moments_hmm,CRISIS,254.0,0.22787721664185945,0.2258940401320948,0.2528976601974706,0.9318609184482809,1.3911672844313459,-0.19229840507987273,1.1747057394379732
moments_hmm,TURBULENT,209.0,0.5515558259867046,0.6983070127824664,0.18400617082456014,2.9724103495131047,4.552434724095945,-0.07337735014100089,9.516656181241343
moments_hmm_policy,CALM,3039.0,2.629928842378585,0.1128275759081907,0.1936350257513885,0.649511204219117,0.8049365154100709,-0.3512543153225538,0.3212133516554298
moments_hmm_policy,CRISIS,254.0,0.12703664219599853,0.12597584817588792,0.18493046881924824,0.7340417728385451,1.0598462495472136,-0.13044240432468956,0.9657584037037238
moments_hmm_policy,TURBULENT,209.0,0.40906913690738,0.5120768932565842,0.1629528257165772,2.6200587847069317,4.300963884300715,-0.06410004917423329,7.988712955035097
moments_longwindow,CALM,3039.0,1.8255637258542219,0.08994992008986635,0.18278364123995194,0.5631600347122313,0.688664058579766,-0.34635399898027563,0.2597051581754333
moments_longwindow,CRISIS,254.0,0.23106684921940435,0.229053414114625,0.2613464695605523,0.9198797819339605,1.3925542699007871,-0.2008514510892927,1.140412045182559
moments_longwindow,TURBULENT,209.0,0.6097058764502614,0.7753455537735818,0.19500550755526988,3.043248925072215,4.649801832050493,-0.07242790883834116,10.7050661300211
moments_oracle,CALM,3039.0,1.7843386167685162,0.08862235418716269,0.1820292444148827,0.5580303107125211,0.6877309793229152,-0.3450533898572282,0.2568366426535665
moments_oracle,CRISIS,254.0,0.23672377883321127,0.23465652058947284,0.2480312942049456,0.9739626755959346,1.4682132470807194,-0.1853789947024066,1.2658204397222708
moments_oracle,TURBULENT,209.0,0.5260763845429688,0.6647366953315847,0.18960626743473522,2.7844696444421695,4.2295122308704425,-0.07728732986641429,8.600849537440812
moments_shuffled,CALM,3039.0,1.7212139892113592,0.08655420830833038,0.18113126480282285,0.5493840565384036,0.6740046475400154,-0.34248510651059083,0.2527240065712283
moments_shuffled,CRISIS,254.0,0.24926347198282905,0.24707618607094917,0.2595657892379503,0.980531880063145,1.4764931281006242,-0.19113295525234664,1.2926927527738086
moments_shuffled,TURBULENT,209.0,0.6286630945388594,0.8005855580350874,0.19495314708602113,3.1165801540699274,4.7867262702746,-0.07241796161722369,11.055068938099996
pinned_calm,CALM,3039.0,0.8136362662937544,0.05060509484668674,0.19454232303770427,0.3516064463878201,0.4366255946828614,-0.4091930857683984,0.12367045438135534
pinned_calm,CRISIS,254.0,0.4135762167981636,0.40972893440360036,0.2222933799062602,1.656624663511615,2.407062473662692,-0.15746079321581374,2.602101297953143
pinned_calm,TURBULENT,209.0,0.5277942669728914,0.6669964809834596,0.20450531187517035,2.602696280035456,4.109174088324306,-0.0993541432205941,6.713323263253754
pinned_crisis,CALM,3039.0,0.19137865234046503,0.01462650630055995,0.16948966248620034,0.17085957212503583,0.21065587821755694,-0.38339088636330154,0.038150375558744655
pinned_crisis,CRISIS,254.0,0.2261014144580158,0.22413505618300822,0.18968329878401408,1.1611783974930818,1.6691619485514098,-0.1638172032570715,1.3682021895544294
